fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 235956	binary	custom	TRUE	TRUE	FALSE	-100	246	TRUE	388699	0.0590073685178127	0.249494071764693	3969	934	10010	12	0	1.32858666793082	27.0176626953014	20	26300000	142
20220929 000017	binary	custom	TRUE	TRUE	FALSE	-100	88	TRUE	388699	0.117991994773358	0.273905344584667	7233	833	7992	11	0	0.723976611830017	20.5560352138008	2	20820000	143
20220929 000101	binary	custom	TRUE	TRUE	FALSE	-100	208	TRUE	388699	0.0487339474408746	0.725422365585559	6195	231	8066	11	0	24.8677606010868	5.14798986001009	55	26270000	144
20220929 000146	binary	custom	TRUE	TRUE	FALSE	-100	221	TRUE	388699	0.0653171313794289	0.560907934085657	1484	970	8460	14	0	13.9652820507871	42.1514266231916	13	26840000	145
20220929 000216	binary	custom	TRUE	TRUE	FALSE	-100	128	TRUE	388699	0.057504641286102	0.87682323807142	2676	769	8325	11	0	10.9342670229238	44.3967237850205	62	27030000	146
20220929 000257	binary	custom	TRUE	TRUE	FALSE	-100	178	TRUE	388699	0.0752455176000682	0.348109035835669	1695	538	7985	10	0	0.843250550897569	41.0640498207506	70	26990000	147
20220929 000357	binary	custom	TRUE	TRUE	FALSE	-100	230	TRUE	388699	0.0198217556959297	0.272112990640253	2790	680	9511	4	0	1.86953546977453	42.0966272555801	98	26340000	148
20220929 000440	binary	custom	TRUE	TRUE	FALSE	-100	218	TRUE	388699	0.0718601931670014	0.560948058874192	4523	290	9176	11	0	12.4461084833618	2.07131550056172	32	26690000	149
20220929 000520	binary	custom	TRUE	TRUE	FALSE	-100	129	TRUE	388699	0.0944009364011443	0.31391569985389	758	665	8480	10	0	8.31434093521441	46.7136180289771	69	27360000	150
20220929 000544	binary	custom	TRUE	TRUE	FALSE	-100	139	TRUE	388699	0.0746286615307149	0.963534563799981	5862	332	10182	7	0	28.3885113200012	17.7377734997962	33	26360000	151
20220929 000611	binary	custom	TRUE	TRUE	FALSE	-100	68	TRUE	388699	0.0568074416493435	0.528028561986777	1297	851	8476	7	14	29.2153769118992	43.6795609840395	15	24410000	152
20220929 000714	binary	custom	TRUE	TRUE	FALSE	-100	415	TRUE	388699	0.0271513044421158	0.624478487613003	92	634	10352	10	0	29.8902116370537	10.5459997970423	57	26420000	153
20220929 000730	binary	custom	TRUE	TRUE	FALSE	-100	58	TRUE	388699	0.079621345763641	0.644252363830634	6821	251	10056	5	10	24.2132288488521	7.6464999181324	54	24130000	154
