fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 024411	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	789	1	1	1	0.1	50	0.5	FALSE	388699	0.0230898191881841	0.646802680347965	6943	1899	0.0277379321494198	6184	18032000	72
20221030 024902	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	840	1	1	1	0.1	50	0.5	FALSE	388699	0.0237267050333521	0.620698668305645	7035	1963	0.0232236252302221	7120	17440000	73
20221030 030458	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2449	1	1	1	0.1	50	0.5	FALSE	388699	0.00502031531431514	0.35899674436209	7198	48	0.0258769943140329	6916	17528000	74
20221030 032200	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3027	1	1	1	0.1	50	0.5	FALSE	388699	0.00503527289380766	0.281706595873622	7154	103	0.0270465209398116	6643	17514000	75
20221030 032344	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	0.1	50	0.5	FALSE	388699	0.0491692836151767	0.629306272164023	6928	1569	0.0266352816388501	6822	17236000	76
20221030 033010	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1148	1	1	1	0.1	50	0.5	FALSE	388699	0.0134954521273833	0.659903422146314	6987	1621	0.0249577591011072	6854	17492000	77
20221030 034135	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1771	1	1	1	0.1	50	0.5	FALSE	388699	0.00514732385669365	0.272960106890819	7895	590	0.024120496553446	7422	16996000	78
20221030 035014	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1215	1	1	1	0.1	50	0.5	FALSE	388699	0.00520594924620359	0.84877639596686	7183	968	0.0224633579428756	7815	16770000	79
20221030 035254	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	0.1	50	0.5	FALSE	388699	0.0435246778436285	0.416088248611114	7128	75	0.0243336676326738	7388	17144000	80
20221030 040405	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2105	1	1	1	0.1	50	0.5	FALSE	388699	0.00610349667671461	0.214363818260173	7818	786	0.0255137136217364	6888	17344000	81
20221030 040654	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	0.1	50	0.5	FALSE	388699	0.0313547172994403	0.327602581456864	7796	896	0.0255807476253215	7287	16866000	82
20221030 041829	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2004	1	1	1	0.1	50	0.5	FALSE	388699	0.00532425209827371	0.980939206165545	7233	440	0.0236602446376462	7296	17008000	83
20221030 042054	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	278	1	1	1	0.1	50	0.5	FALSE	388699	0.0434781298742325	0.231014966478544	7829	528	0.0268628285852874	6971	17258000	84
20221030 043436	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1725	1	1	1	0.1	50	0.5	FALSE	388699	0.0065993950796646	0.431227181399873	4134	542	0.0249312484085997	6963	17034000	85
20221030 044950	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2110	1	1	1	0.1	50	0.5	FALSE	388699	0.00510905168959885	0.396510422329372	7177	171	0.0232810600032946	7535	16770000	86
20221030 045403	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	645	1	1	1	0.1	50	0.5	FALSE	388699	0.02423993623039	0.643760670379107	6776	1919	0.0226803278457603	7383	17154000	87
20221030 050955	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2512	1	1	1	0.1	50	0.5	FALSE	388699	0.00512231380401848	0.340874031882458	7414	69	0.024768477993929	7217	17326000	88
